,league,season,game,round,week,date,home_team,away_team,home_score,away_score,status,game_id,url,team_x,home_Expected goals (xG),home_xG non-penalty,home_xG on target (xGOT),home_xG open play,home_xG set play,home_Blocked shots,home_Hit woodwork,home_Shots inside box,home_Shots off target,home_Shots on target,home_Shots outside box,home_Total shots,home_Accurate passes,home_Ball possession,home_Big chances,home_Big chances missed,home_Corners,home_Fouls committed,home_Accurate passes (%),home_Accurate crosses,home_Accurate long balls,home_Offsides,home_Opposition half,home_Own half,home_Passes,home_Throws,home_Accurate crosses (%),home_Accurate long balls (%),home_Touches in opposition box,team_y,away_Expected goals (xG),away_xG non-penalty,away_xG on target (xGOT),away_xG open play,away_xG set play,away_Blocked shots,away_Hit woodwork,away_Shots inside box,away_Shots off target,away_Shots on target,away_Shots outside box,away_Total shots,away_Accurate passes,away_Ball possession,away_Big chances,away_Big chances missed,away_Corners,away_Fouls committed,away_Accurate passes (%),away_Accurate crosses,away_Accurate long balls,away_Offsides,away_Opposition half,away_Own half,away_Passes,away_Throws,away_Accurate crosses (%),away_Accurate long balls (%),away_Touches in opposition box
25,ITA-Serie A,2223,2022-08-27 Spezia-Sassuolo,3,3,2022-08-27 18:45:00+00:00,Spezia,Sassuolo,2 , 2,FT,3919108,https://fotmob.com/matches/sassuolo-vs-spezia/2ml209#3919108,Spezia,1.20,0.41,1.44,0.41,0.05,1.0,0.0,6.0,4.0,2.0,1.0,7.0,301,42,1,0,2,17,0.75,4,18,3,93,208,399,20,0.4,0.28,,Sassuolo,2.91,2.91,2.16,2.70,0.20,4.0,0.0,17.0,9.0,8.0,4.0,21.0,451,58,4,2,6,10,0.83,12,32,1,222,229,543,25,0.55,0.56,
26,ITA-Serie A,2223,2022-08-28 Fiorentina-SSC Napoli,3,3,2022-08-28 18:45:00+00:00,Fiorentina,SSC Napoli,0 , 0,FT,3919100,https://fotmob.com/matches/fiorentina-vs-ssc-napoli/2swm0q#3919100,Fiorentina,0.49,0.49,0.74,0.49,0.00,1.0,0.0,6.0,4.0,5.0,4.0,10.0,391,48,0,0,2,12,0.83,3,24,1,142,249,469,11,0.27,0.42,,SSC Napoli,1.68,1.68,0.30,1.36,0.32,6.0,0.0,10.0,5.0,2.0,3.0,13.0,424,52,2,2,3,14,0.86,1,28,2,140,284,495,24,0.09,0.61,
27,ITA-Serie A,2223,2022-08-28 Hellas Verona-Atalanta,3,3,2022-08-28 16:30:00+00:00,Hellas Verona,Atalanta,0 , 1,FT,3919101,https://fotmob.com/matches/atalanta-vs-hellas-verona/2sso04#3919101,Hellas Verona,0.51,0.51,0.13,0.50,0.01,2.0,1.0,4.0,10.0,2.0,10.0,14.0,270,49,0,0,7,15,0.73,5,32,2,153,117,372,19,0.29,0.44,22,Atalanta,0.78,0.78,1.04,0.70,0.08,3.0,0.0,11.0,5.0,7.0,4.0,15.0,273,51,0,0,6,7,0.72,1,33,0,135,138,379,23,0.06,0.43,28
28,ITA-Serie A,2223,2022-08-28 Lecce-Empoli,3,3,2022-08-28 18:45:00+00:00,Lecce,Empoli,1 , 1,FT,3919104,https://fotmob.com/matches/empoli-vs-lecce/2t1cjx#3919104,Lecce,0.86,0.86,1.23,0.83,0.02,5.0,0.0,10.0,5.0,5.0,5.0,15.0,233,40,0,0,3,10,0.77,4,28,4,153,80,302,25,0.15,0.52,23,Empoli,0.38,0.38,0.34,0.34,0.03,1.0,0.0,4.0,5.0,3.0,5.0,9.0,371,60,0,0,5,5,0.8,3,23,1,135,236,464,27,0.2,0.38,8
29,ITA-Serie A,2223,2022-08-28 Salernitana-Sampdoria,3,3,2022-08-28 16:30:00+00:00,Salernitana,Sampdoria,4 , 0,FT,3919107,https://fotmob.com/matches/salernitana-vs-sampdoria/27pf29#3919107,Salernitana,1.74,1.74,2.63,1.50,0.24,1.0,1.0,7.0,2.0,6.0,2.0,9.0,308,45,2,0,6,19,0.8,5,25,1,134,174,386,10,0.25,0.44,,Sampdoria,1.79,1.79,0.42,1.64,0.15,5.0,0.0,16.0,6.0,6.0,1.0,17.0,412,55,1,1,3,14,0.84,4,26,4,152,260,488,17,0.33,0.52,
30,ITA-Serie A,2223,2022-08-30 Inter-Cremonese,4,4,2022-08-30 18:45:00+00:00,Inter,Cremonese,3 , 1,FT,3919112,https://fotmob.com/matches/cremonese-vs-inter/28fr6b#3919112,Inter,2.24,2.24,3.46,2.04,0.20,4.0,0.0,15.0,7.0,7.0,3.0,18.0,400,53,3,1,6,6,0.87,6,44,2,160,240,462,20,0.33,0.68,,Cremonese,1.16,1.16,0.79,0.94,0.22,3.0,0.0,8.0,4.0,4.0,3.0,11.0,330,47,2,2,6,14,0.82,6,12,2,168,162,404,22,0.32,0.33,
31,ITA-Serie A,2223,2022-08-30 Roma-Monza,4,4,2022-08-30 18:45:00+00:00,Roma,Monza,3 , 0,FT,3919115,https://fotmob.com/matches/monza-vs-roma/1wp34b#3919115,Roma,1.84,1.84,2.09,1.69,0.15,4.0,0.0,13.0,3.0,8.0,2.0,15.0,329,39,5,3,5,10,0.84,3,36,2,125,204,390,16,0.38,0.77,,Monza,0.86,0.86,0.04,0.54,0.31,4.0,1.0,9.0,8.0,1.0,4.0,13.0,546,61,0,0,4,7,0.92,9,18,1,314,232,595,13,0.41,0.72,
32,ITA-Serie A,2223,2022-08-30 Sassuolo-AC Milan,4,4,2022-08-30 16:30:00+00:00,Sassuolo,AC Milan,0 , 0,FT,3919117,https://fotmob.com/matches/sassuolo-vs-ac-milan/294gu6#3919117,Sassuolo,1.14,0.35,1.52,0.35,0.00,2.0,0.0,4.0,3.0,3.0,4.0,8.0,191,38,1,1,3,14,0.72,1,25,3,97,94,267,20,0.08,0.42,,AC Milan,0.68,0.68,0.10,0.58,0.10,4.0,0.0,7.0,5.0,2.0,4.0,11.0,360,62,1,1,8,13,0.8,3,32,1,169,191,448,29,0.13,0.52,
33,ITA-Serie A,2223,2022-08-31 Empoli-Hellas Verona,4,4,2022-08-31 16:30:00+00:00,Empoli,Hellas Verona,1 , 1,FT,3919111,https://fotmob.com/matches/empoli-vs-hellas-verona/2swm0r#3919111,Empoli,1.11,1.11,0.73,0.83,0.28,8.0,0.0,7.0,4.0,4.0,9.0,16.0,244,51,0,0,7,5,0.7,11,22,2,135,109,350,27,0.48,0.31,32,Hellas Verona,0.64,0.64,1.02,0.38,0.26,2.0,0.0,8.0,4.0,3.0,1.0,9.0,232,49,0,0,10,22,0.71,8,15,1,112,120,326,22,0.32,0.33,29
34,ITA-Serie A,2223,2022-08-31 Juventus-Spezia,4,4,2022-08-31 18:45:00+00:00,Juventus,Spezia,2 , 0,FT,3919113,https://fotmob.com/matches/spezia-vs-juventus/38be96#3919113,Juventus,0.94,0.94,0.84,0.48,0.46,5.0,0.0,10.0,7.0,3.0,5.0,15.0,385,51,3,2,7,11,0.82,6,51,1,120,265,467,23,0.5,0.65,,Spezia,0.18,0.18,0.00,0.16,0.02,7.0,0.0,2.0,2.0,0.0,7.0,9.0,364,49,0,0,3,10,0.81,3,27,2,166,198,447,31,0.17,0.56,
35,ITA-Serie A,2223,2022-08-31 SSC Napoli-Lecce,4,4,2022-08-31 18:45:00+00:00,SSC Napoli,Lecce,1 , 1,FT,3919114,https://fotmob.com/matches/ssc-napoli-vs-lecce/38a4i6#3919114,SSC Napoli,1.77,1.77,1.60,1.66,0.12,4.0,0.0,12.0,8.0,7.0,7.0,19.0,569,71,3,2,6,7,0.87,5,32,4,287,282,654,32,0.21,0.64,,Lecce,1.07,0.29,1.63,0.19,0.10,1.0,0.0,3.0,4.0,4.0,6.0,9.0,193,29,1,1,4,20,0.73,1,15,3,94,99,265,17,0.1,0.26,
36,ITA-Serie A,2223,2022-08-31 Sampdoria-Lazio,4,4,2022-08-31 16:30:00+00:00,Sampdoria,Lazio,1 , 1,FT,3919116,https://fotmob.com/matches/lazio-vs-sampdoria/2t2j73#3919116,Sampdoria,0.82,0.82,1.09,0.72,0.10,3.0,0.0,6.0,4.0,3.0,4.0,10.0,419,44,1,0,5,11,0.86,3,30,2,159,260,485,13,0.17,0.64,,Lazio,1.51,1.51,1.15,1.35,0.15,4.0,1.0,8.0,3.0,6.0,5.0,13.0,550,56,4,3,7,10,0.89,2,25,2,239,311,621,11,0.11,0.6,
37,ITA-Serie A,2223,2022-08-31 Udinese-Fiorentina,4,4,2022-08-31 16:30:00+00:00,Udinese,Fiorentina,1 , 0,FT,3919118,https://fotmob.com/matches/fiorentina-vs-udinese/2few0w#3919118,Udinese,1.29,1.29,0.78,1.29,0.00,2.0,0.0,6.0,3.0,3.0,2.0,8.0,165,26,1,0,3,13,0.71,1,20,5,94,71,233,16,0.14,0.41,,Fiorentina,0.75,0.75,0.13,0.30,0.45,5.0,0.0,8.0,5.0,2.0,4.0,12.0,593,74,0,0,7,10,0.89,7,53,0,300,293,666,29,0.35,0.7,
38,ITA-Serie A,2223,2022-09-01 Atalanta-Torino,4,4,2022-09-01 18:45:00+00:00,Atalanta,Torino,3 , 1,FT,3919109,https://fotmob.com/matches/atalanta-vs-torino/2s0bp4#3919109,Atalanta,2.98,1.40,2.38,0.77,0.64,2.0,2.0,9.0,5.0,5.0,3.0,12.0,254,41,5,3,7,14,0.72,4,19,5,119,135,353,16,0.29,0.33,,Torino,0.44,0.44,0.19,0.38,0.05,1.0,2.0,5.0,5.0,2.0,3.0,8.0,424,59,0,0,2,13,0.8,1,28,3,230,194,528,19,0.1,0.41,
39,ITA-Serie A,2223,2022-09-01 Bologna-Salernitana,4,4,2022-09-01 18:45:00+00:00,Bologna,Salernitana,1 , 1,FT,3919110,https://fotmob.com/matches/salernitana-vs-bologna/27gnne#3919110,Bologna,1.77,0.98,1.67,0.98,0.00,2.0,0.0,8.0,5.0,4.0,3.0,11.0,283,46,3,2,1,10,0.76,4,18,1,123,160,374,24,0.25,0.35,,Salernitana,1.39,1.39,0.86,1.02,0.37,8.0,0.0,13.0,8.0,4.0,7.0,20.0,314,54,2,1,8,11,0.75,9,25,0,194,120,417,20,0.33,0.45,
40,ITA-Serie A,2223,2022-09-03 AC Milan-Inter,5,5,2022-09-03 16:00:00+00:00,AC Milan,Inter,3 , 2,FT,3919123,https://fotmob.com/matches/ac-milan-vs-inter/2g2t3o#3919123,AC Milan,1.32,1.32,2.74,1.09,0.23,4.0,0.0,13.0,12.0,5.0,8.0,21.0,315,48,2,0,2,10,0.83,6,30,2,131,184,381,10,0.6,0.5,,Inter,1.83,1.83,2.52,1.70,0.13,7.0,0.0,9.0,4.0,5.0,7.0,16.0,332,52,3,1,5,12,0.81,2,19,2,115,217,408,24,0.13,0.45,
41,ITA-Serie A,2223,2022-09-03 Fiorentina-Juventus,5,5,2022-09-03 13:00:00+00:00,Fiorentina,Juventus,1 , 1,FT,3919120,https://fotmob.com/matches/fiorentina-vs-juventus/2t0k4f#3919120,Fiorentina,2.15,1.37,2.56,0.80,0.56,6.0,1.0,12.0,6.0,5.0,5.0,17.0,435,60,2,1,10,13,0.91,10,32,0,315,120,479,16,0.24,0.78,,Juventus,1.05,1.05,0.98,1.05,0.00,1.0,0.0,3.0,2.0,1.0,1.0,4.0,290,40,1,0,2,12,0.85,3,19,1,66,224,341,12,0.38,0.49,
42,ITA-Serie A,2223,2022-09-03 Lazio-SSC Napoli,5,5,2022-09-03 18:45:00+00:00,Lazio,SSC Napoli,1 , 2,FT,3919122,https://fotmob.com/matches/lazio-vs-ssc-napoli/2szrou#3919122,Lazio,0.26,0.26,0.69,0.19,0.07,1.0,0.0,2.0,5.0,2.0,6.0,8.0,322,39,0,0,6,12,0.82,1,9,0,110,212,391,13,0.1,0.27,,SSC Napoli,2.15,2.15,1.98,1.66,0.49,6.0,2.0,15.0,6.0,7.0,4.0,19.0,552,61,3,3,8,14,0.89,7,36,1,227,325,622,19,0.32,0.57,
43,ITA-Serie A,2223,2022-09-04 Cremonese-Sassuolo,5,5,2022-09-04 10:30:00+00:00,Cremonese,Sassuolo,0 , 0,FT,3919119,https://fotmob.com/matches/cremonese-vs-sassuolo/21sqfb#3919119,Cremonese,0.41,0.41,0.00,0.36,0.05,1.0,0.0,5.0,9.0,0.0,5.0,10.0,306,46,1,1,2,16,0.8,4,23,3,112,194,382,17,0.21,0.47,,Sassuolo,1.54,1.54,0.89,1.22,0.32,4.0,0.0,15.0,6.0,7.0,2.0,17.0,371,54,2,2,3,6,0.81,7,30,2,164,207,456,28,0.39,0.5,
44,ITA-Serie A,2223,2022-09-04 Hellas Verona-Sampdoria,5,5,2022-09-04 16:00:00+00:00,Hellas Verona,Sampdoria,2 , 1,FT,3919121,https://fotmob.com/matches/hellas-verona-vs-sampdoria/38809f#3919121,Hellas Verona,2.45,2.45,1.64,2.40,0.05,5.0,1.0,13.0,3.0,9.0,4.0,17.0,233,50,5,4,7,16,0.67,3,30,4,119,114,350,17,0.14,0.43,22,Sampdoria,0.79,0.79,0.58,0.75,0.04,3.0,0.0,7.0,5.0,3.0,4.0,11.0,244,50,1,1,2,11,0.67,2,29,2,156,88,365,29,0.17,0.37,25
45,ITA-Serie A,2223,2022-09-04 Spezia-Bologna,5,5,2022-09-04 13:00:00+00:00,Spezia,Bologna,2 , 2,FT,3919126,https://fotmob.com/matches/bologna-vs-spezia/37zji0#3919126,Spezia,0.95,0.95,1.06,0.86,0.09,6.0,0.0,10.0,4.0,5.0,5.0,15.0,274,45,1,1,7,12,0.78,4,26,0,171,103,351,25,0.17,0.49,,Bologna,0.90,0.90,1.13,0.90,0.00,0.0,0.0,4.0,7.0,6.0,9.0,13.0,362,55,2,0,2,5,0.8,1,28,5,154,208,454,26,0.1,0.51,
46,ITA-Serie A,2223,2022-09-04 Udinese-Roma,5,5,2022-09-04 18:45:00+00:00,Udinese,Roma,4 , 0,FT,3919128,https://fotmob.com/matches/udinese-vs-roma/2gyldv#3919128,Udinese,1.16,1.16,1.69,0.99,0.17,1.0,0.0,6.0,5.0,5.0,5.0,11.0,320,43,1,0,3,16,0.83,2,21,0,167,153,386,10,0.18,0.45,,Roma,0.80,0.80,0.17,0.32,0.48,4.0,1.0,10.0,6.0,2.0,2.0,12.0,447,57,0,0,7,13,0.87,6,37,2,212,235,515,21,0.38,0.74,
47,ITA-Serie A,2223,2022-09-05 Monza-Atalanta,5,5,2022-09-05 16:30:00+00:00,Monza,Atalanta,0 , 2,FT,3919124,https://fotmob.com/matches/monza-vs-atalanta/1v8mb2#3919124,Monza,1.19,1.19,1.37,1.10,0.10,1.0,0.0,5.0,6.0,3.0,5.0,10.0,456,60,1,1,4,9,0.82,2,19,0,200,256,557,18,0.14,0.39,,Atalanta,1.95,1.95,1.89,1.68,0.27,0.0,1.0,9.0,7.0,6.0,4.0,13.0,286,40,3,2,9,10,0.78,4,32,1,164,122,366,25,0.21,0.57,
48,ITA-Serie A,2223,2022-09-05 Salernitana-Empoli,5,5,2022-09-05 16:30:00+00:00,Salernitana,Empoli,2 , 2,FT,3919125,https://fotmob.com/matches/salernitana-vs-empoli/1v441n#3919125,Salernitana,1.28,1.28,2.26,0.84,0.44,8.0,0.0,7.0,3.0,4.0,8.0,15.0,346,52,3,1,6,7,0.83,6,30,4,163,183,419,17,0.23,0.51,,Empoli,0.91,0.91,1.17,0.85,0.06,3.0,0.0,7.0,3.0,5.0,4.0,11.0,300,48,1,0,7,9,0.78,2,19,1,107,193,384,25,0.1,0.44,
49,ITA-Serie A,2223,2022-09-05 Torino-Lecce,5,5,2022-09-05 18:45:00+00:00,Torino,Lecce,1 , 0,FT,3919127,https://fotmob.com/matches/torino-vs-lecce/37g3q6#3919127,Torino,1.09,1.09,1.19,0.99,0.10,3.0,0.0,8.0,6.0,4.0,5.0,13.0,393,59,1,1,4,16,0.82,4,28,2,189,204,479,22,0.29,0.49,,Lecce,0.34,0.34,0.37,0.12,0.22,2.0,0.0,8.0,5.0,2.0,1.0,9.0,232,41,0,0,4,8,0.71,5,26,2,100,132,328,21,0.33,0.39,
50,ITA-Serie A,2223,2022-09-10 Inter-Torino,6,6,2022-09-10 16:00:00+00:00,Inter,Torino,1 , 0,FT,3919446,https://fotmob.com/matches/inter-vs-torino/2t8ghc#3919446,Inter,1.53,1.53,1.17,1.39,0.15,6.0,1.0,7.0,7.0,3.0,9.0,16.0,417,57,2,1,6,8,0.85,4,23,1,167,250,493,16,0.16,0.48,,Torino,0.69,0.69,1.55,0.56,0.13,2.0,0.0,6.0,0.0,7.0,3.0,9.0,290,43,0,0,5,17,0.78,1,15,1,156,134,374,17,0.06,0.31,
51,ITA-Serie A,2223,2022-09-10 SSC Napoli-Spezia,6,6,2022-09-10 13:00:00+00:00,SSC Napoli,Spezia,1 , 0,FT,3919450,https://fotmob.com/matches/ssc-napoli-vs-spezia/3875rr#3919450,SSC Napoli,2.25,2.25,1.01,1.67,0.58,14.0,0.0,18.0,8.0,6.0,10.0,28.0,469,63,2,2,10,6,0.9,5,23,5,258,211,520,20,0.24,0.77,,Spezia,0.52,0.52,0.09,0.47,0.05,5.0,0.0,7.0,4.0,1.0,3.0,10.0,232,37,1,1,5,14,0.77,1,21,1,92,140,300,13,0.1,0.38,
52,ITA-Serie A,2223,2022-09-10 Sampdoria-AC Milan,6,6,2022-09-10 18:45:00+00:00,Sampdoria,AC Milan,1 , 2,FT,3919451,https://fotmob.com/matches/ac-milan-vs-sampdoria/2tatxf#3919451,Sampdoria,0.74,0.74,1.58,0.72,0.02,1.0,2.0,6.0,5.0,4.0,4.0,10.0,415,57,2,1,2,12,0.86,4,26,0,224,191,482,18,0.27,0.59,,AC Milan,1.87,1.09,1.49,0.72,0.37,4.0,0.0,12.0,7.0,4.0,3.0,15.0,291,43,3,2,4,10,0.79,5,16,2,103,188,367,12,0.5,0.3,
53,ITA-Serie A,2223,2022-09-11 Atalanta-Cremonese,6,6,2022-09-11 10:30:00+00:00,Atalanta,Cremonese,1 , 1,FT,3919442,https://fotmob.com/matches/cremonese-vs-atalanta/27cfej#3919442,Atalanta,0.68,0.68,0.81,0.31,0.37,5.0,0.0,5.0,3.0,6.0,9.0,14.0,351,58,1,1,3,9,0.76,3,34,2,183,168,460,24,0.21,0.59,,Cremonese,0.56,0.56,1.17,0.47,0.09,2.0,0.0,4.0,1.0,4.0,3.0,7.0,223,42,1,0,3,17,0.66,2,18,0,72,151,336,20,0.29,0.3,
54,ITA-Serie A,2223,2022-09-11 Bologna-Fiorentina,6,6,2022-09-11 13:00:00+00:00,Bologna,Fiorentina,2 , 1,FT,3919443,https://fotmob.com/matches/fiorentina-vs-bologna/2spifh#3919443,Bologna,0.65,0.65,1.09,0.61,0.04,3.0,0.0,7.0,5.0,4.0,5.0,12.0,226,39,2,0,6,8,0.77,5,33,3,96,130,295,17,0.33,0.55,,Fiorentina,1.27,1.27,0.91,0.39,0.87,4.0,0.0,8.0,7.0,2.0,5.0,13.0,381,61,1,0,8,13,0.86,10,30,0,229,152,443,27,0.28,0.59,
55,ITA-Serie A,2223,2022-09-11 Juventus-Salernitana,6,6,2022-09-11 18:45:00+00:00,Juventus,Salernitana,2 , 2,FT,3919447,https://fotmob.com/matches/salernitana-vs-juventus/27qgy0#3919447,Juventus,1.94,1.15,1.97,0.79,0.36,4.0,1.0,16.0,11.0,8.0,7.0,23.0,505,61,3,1,8,13,0.88,7,44,6,250,255,572,11,0.27,0.72,,Salernitana,1.70,0.92,2.22,0.90,0.02,3.0,0.0,4.0,3.0,5.0,7.0,11.0,292,39,2,0,2,15,0.78,0,30,2,150,142,376,18,0.0,0.48,
56,ITA-Serie A,2223,2022-09-11 Lazio-Hellas Verona,6,6,2022-09-11 16:00:00+00:00,Lazio,Hellas Verona,2 , 0,FT,3919448,https://fotmob.com/matches/lazio-vs-hellas-verona/2t05wi#3919448,Lazio,1.09,1.09,1.45,0.86,0.24,3.0,1.0,10.0,6.0,6.0,5.0,15.0,400,60,2,1,3,5,0.8,5,27,3,170,230,499,19,0.42,0.45,30,Hellas Verona,0.34,0.34,0.11,0.28,0.06,2.0,1.0,5.0,4.0,1.0,2.0,7.0,229,40,0,0,5,23,0.71,5,25,3,110,119,323,19,0.24,0.43,21
57,ITA-Serie A,2223,2022-09-11 Lecce-Monza,6,6,2022-09-11 13:00:00+00:00,Lecce,Monza,1 , 1,FT,3919449,https://fotmob.com/matches/monza-vs-lecce/27zy6c#3919449,Lecce,0.92,0.92,1.28,0.25,0.67,3.0,0.0,4.0,1.0,3.0,3.0,7.0,304,53,3,2,8,18,0.82,5,33,1,135,169,373,20,0.19,0.54,,Monza,0.12,0.12,0.33,0.07,0.05,1.0,0.0,1.0,0.0,1.0,1.0,2.0,263,47,0,0,5,22,0.77,3,22,0,115,148,341,19,0.16,0.39,
58,ITA-Serie A,2223,2022-09-11 Sassuolo-Udinese,6,6,2022-09-11 13:00:00+00:00,Sassuolo,Udinese,1 , 3,FT,3919453,https://fotmob.com/matches/sassuolo-vs-udinese/29h7wo#3919453,Sassuolo,0.52,0.52,0.29,0.40,0.12,2.0,0.0,4.0,1.0,2.0,1.0,5.0,176,32,0,0,5,7,0.68,2,18,0,80,96,260,21,0.18,0.32,,Udinese,2.10,2.10,1.95,1.78,0.32,4.0,1.0,9.0,9.0,4.0,8.0,17.0,497,68,3,1,6,16,0.89,5,41,5,297,200,557,12,0.28,0.71,
59,ITA-Serie A,2223,2022-09-12 Empoli-Roma,6,6,2022-09-12 18:45:00+00:00,Empoli,Roma,1 , 2,FT,3919445,https://fotmob.com/matches/empoli-vs-roma/2ga6qg#3919445,Empoli,1.13,1.13,0.91,0.75,0.38,9.0,1.0,11.0,8.0,3.0,9.0,20.0,328,53,1,1,7,13,0.81,10,23,0,162,166,403,28,0.32,0.5,,Roma,3.07,2.28,3.02,2.00,0.28,2.0,2.0,11.0,4.0,7.0,2.0,13.0,284,47,6,5,7,12,0.77,3,20,0,127,157,368,33,0.2,0.41,
60,ITA-Serie A,2223,2022-09-16 Salernitana-Lecce,7,7,2022-09-16 18:45:00+00:00,Salernitana,Lecce,1 , 2,FT,3919461,https://fotmob.com/matches/salernitana-vs-lecce/27riu0#3919461,Salernitana,1.20,1.20,1.40,1.20,0.00,0.0,0.0,7.0,4.0,4.0,1.0,8.0,417,57,2,2,4,9,0.84,7,23,6,194,223,494,29,0.41,0.43,,Lecce,1.46,1.46,1.07,1.36,0.11,3.0,0.0,4.0,6.0,4.0,9.0,13.0,294,43,2,1,5,11,0.8,3,27,0,121,173,368,18,0.17,0.45,
61,ITA-Serie A,2223,2022-09-17 Bologna-Empoli,7,7,2022-09-17 13:00:00+00:00,Bologna,Empoli,0 , 1,FT,3919454,https://fotmob.com/matches/empoli-vs-bologna/2sp48l#3919454,Bologna,1.65,1.65,0.22,0.76,0.89,4.0,2.0,7.0,9.0,3.0,9.0,16.0,313,61,4,4,5,11,0.79,10,26,4,161,152,397,32,0.4,0.55,,Empoli,1.57,1.57,1.44,1.49,0.08,3.0,0.0,9.0,4.0,5.0,3.0,12.0,167,39,3,2,8,16,0.66,7,22,0,94,73,252,19,0.32,0.46,
62,ITA-Serie A,2223,2022-09-17 Spezia-Sampdoria,7,7,2022-09-17 16:00:00+00:00,Spezia,Sampdoria,2 , 1,FT,3919462,https://fotmob.com/matches/spezia-vs-sampdoria/38a4i0#3919462,Spezia,0.68,0.68,1.14,0.49,0.19,1.0,0.0,4.0,2.0,3.0,2.0,6.0,276,52,2,1,3,17,0.74,7,27,4,120,156,374,30,0.32,0.44,,Sampdoria,0.90,0.90,0.97,0.84,0.05,1.0,0.0,6.0,2.0,8.0,5.0,11.0,258,48,2,2,6,14,0.72,0,26,1,142,116,359,33,0.0,0.39,
63,ITA-Serie A,2223,2022-09-17 Torino-Sassuolo,7,7,2022-09-17 18:45:00+00:00,Torino,Sassuolo,0 , 1,FT,3919463,https://fotmob.com/matches/sassuolo-vs-torino/2lrp7u#3919463,Torino,0.69,0.69,0.31,0.43,0.26,7.0,0.0,7.0,2.0,3.0,5.0,12.0,442,58,1,1,4,13,0.85,5,28,3,185,257,521,16,0.42,0.56,,Sassuolo,0.40,0.40,1.23,0.36,0.03,3.0,0.0,6.0,2.0,5.0,4.0,10.0,293,42,0,0,3,7,0.77,3,30,0,112,181,381,23,0.23,0.46,
64,ITA-Serie A,2223,2022-09-18 AC Milan-SSC Napoli,7,7,2022-09-18 18:45:00+00:00,AC Milan,SSC Napoli,1 , 2,FT,3919457,https://fotmob.com/matches/ac-milan-vs-ssc-napoli/2t82b3#3919457,AC Milan,2.66,2.66,1.67,2.19,0.48,7.0,2.0,17.0,10.0,5.0,5.0,22.0,350,51,2,1,9,18,0.82,7,33,1,185,165,428,27,0.35,0.58,,SSC Napoli,1.36,0.57,2.03,0.51,0.06,2.0,0.0,5.0,3.0,4.0,4.0,9.0,352,49,1,0,4,11,0.83,1,32,0,129,223,426,13,0.11,0.52,
65,ITA-Serie A,2223,2022-09-18 Cremonese-Lazio,7,7,2022-09-18 13:00:00+00:00,Cremonese,Lazio,0 , 4,FT,3919455,https://fotmob.com/matches/cremonese-vs-lazio/27j2wb#3919455,Cremonese,1.34,1.34,0.35,0.87,0.47,4.0,0.0,11.0,10.0,4.0,7.0,18.0,300,44,1,1,8,12,0.81,8,25,3,112,188,371,26,0.33,0.51,,Lazio,3.21,2.43,3.42,2.33,0.10,4.0,1.0,14.0,4.0,6.0,0.0,14.0,401,56,5,1,5,9,0.83,2,36,0,166,235,485,14,0.29,0.6,
66,ITA-Serie A,2223,2022-09-18 Fiorentina-Hellas Verona,7,7,2022-09-18 13:00:00+00:00,Fiorentina,Hellas Verona,2 , 0,FT,3919456,https://fotmob.com/matches/fiorentina-vs-hellas-verona/2sx086#3919456,Fiorentina,2.45,1.66,2.68,1.61,0.05,1.0,0.0,8.0,4.0,10.0,7.0,15.0,196,44,4,3,7,18,0.67,2,32,2,118,78,292,18,0.11,0.41,18,Hellas Verona,0.62,0.62,0.18,0.53,0.09,3.0,0.0,6.0,4.0,1.0,2.0,8.0,258,56,1,1,3,17,0.7,5,32,4,106,152,371,25,0.28,0.46,23
67,ITA-Serie A,2223,2022-09-18 Monza-Juventus,7,7,2022-09-18 13:00:00+00:00,Monza,Juventus,1 , 0,FT,3919458,https://fotmob.com/matches/monza-vs-juventus/27yw8c#3919458,Monza,2.47,2.47,1.07,2.47,0.00,4.0,0.0,9.0,9.0,4.0,8.0,17.0,472,60,4,3,5,16,0.87,4,26,6,270,202,542,19,0.2,0.52,,Juventus,0.90,0.90,0.69,0.58,0.31,2.0,0.0,9.0,6.0,2.0,1.0,10.0,268,40,2,2,3,17,0.76,8,25,0,131,137,352,20,0.44,0.4,
68,ITA-Serie A,2223,2022-09-18 Roma-Atalanta,7,7,2022-09-18 16:00:00+00:00,Roma,Atalanta,0 , 1,FT,3919460,https://fotmob.com/matches/atalanta-vs-roma/2g6hwd#3919460,Roma,2.42,2.42,1.13,1.55,0.87,4.0,0.0,13.0,12.0,5.0,8.0,21.0,401,56,5,5,5,9,0.83,8,32,1,163,238,481,28,0.38,0.53,,Atalanta,0.18,0.18,0.43,0.17,0.01,2.0,0.0,1.0,1.0,1.0,3.0,4.0,280,44,0,0,1,19,0.74,2,36,0,141,139,380,25,0.25,0.48,
69,ITA-Serie A,2223,2022-09-18 Udinese-Inter,7,7,2022-09-18 10:30:00+00:00,Udinese,Inter,3 , 1,FT,3919464,https://fotmob.com/matches/udinese-vs-inter/2gg3e6#3919464,Udinese,1.66,1.66,1.64,1.19,0.48,9.0,1.0,11.0,5.0,6.0,9.0,20.0,251,44,1,0,7,11,0.75,3,27,1,119,132,333,24,0.21,0.47,,Inter,1.06,1.06,0.46,0.64,0.42,3.0,1.0,8.0,9.0,4.0,8.0,16.0,336,56,1,1,4,13,0.8,7,21,2,131,205,421,19,0.29,0.5,
