,league,season,game,round,week,date,home_team,away_team,home_score,away_score,status,game_id,url,team_x,home_Expected goals (xG),home_xG non-penalty,home_xG on target (xGOT),home_xG open play,home_xG set play,home_Blocked shots,home_Hit woodwork,home_Shots inside box,home_Shots off target,home_Shots on target,home_Shots outside box,home_Total shots,home_Accurate passes,home_Ball possession,home_Big chances,home_Big chances missed,home_Corners,home_Fouls committed,home_Accurate passes (%),home_Accurate crosses,home_Accurate long balls,home_Offsides,home_Opposition half,home_Own half,home_Passes,home_Throws,home_Touches in opposition box,home_Accurate crosses (%),home_Accurate long balls (%),team_y,away_Expected goals (xG),away_xG non-penalty,away_xG on target (xGOT),away_xG open play,away_xG set play,away_Blocked shots,away_Hit woodwork,away_Shots inside box,away_Shots off target,away_Shots on target,away_Shots outside box,away_Total shots,away_Accurate passes,away_Ball possession,away_Big chances,away_Big chances missed,away_Corners,away_Fouls committed,away_Accurate passes (%),away_Accurate crosses,away_Accurate long balls,away_Offsides,away_Opposition half,away_Own half,away_Passes,away_Throws,away_Touches in opposition box,away_Accurate crosses (%),away_Accurate long balls (%)
293,ITA-Serie A,2324,2024-03-30 Torino-Monza,30,30,2024-03-30 14:00:00+00:00,Torino,Monza,1 , 0,FT,4230843,https://fotmob.com/matches/monza-vs-torino/276icu#4230843,Torino,1.57,0.78,2.07,0.55,0.23,6.0,0.0,9.0,3.0,6.0,6.0,15.0,493,62,1,0,7,9,0.89,6,15,1,206,287,554,12,27,0.26,0.56,Monza,0.77,0.77,0.52,0.77,0.00,4.0,0.0,5.0,3.0,2.0,4.0,9.0,276,38,1,1,2,11,0.82,6,28,2,89,187,337,16,12,0.6,0.55
294,ITA-Serie A,2324,2024-04-01 Bologna-Salernitana,30,30,2024-04-01 10:30:00+00:00,Bologna,Salernitana,3 , 0,FT,4230834,https://fotmob.com/matches/salernitana-vs-bologna/27gnne#4230834,Bologna,1.61,1.61,1.57,1.50,0.11,6.0,0.0,9.0,5.0,3.0,5.0,14.0,704,70,1,1,5,11,0.91,1,12,3,306,398,772,22,35,0.1,0.39,Salernitana,0.62,0.62,0.51,0.59,0.04,3.0,0.0,5.0,3.0,2.0,3.0,8.0,244,30,2,2,3,12,0.77,3,27,0,96,148,317,11,13,0.23,0.49
295,ITA-Serie A,2324,2024-04-01 Cagliari-Hellas Verona,30,30,2024-04-01 13:00:00+00:00,Cagliari,Hellas Verona,1 , 1,FT,4230835,https://fotmob.com/matches/cagliari-vs-hellas-verona/2sun03#4230835,Cagliari,0.63,0.63,0.49,0.55,0.08,7.0,0.0,6.0,3.0,2.0,6.0,12.0,251,51,0,0,7,11,0.71,6,21,2,118,133,356,31,21,0.18,0.3,Hellas Verona,1.43,1.43,1.75,1.38,0.04,1.0,0.0,6.0,2.0,5.0,2.0,8.0,244,49,2,2,2,16,0.68,3,26,3,120,124,357,22,12,0.21,0.3
296,ITA-Serie A,2324,2024-04-01 Inter-Empoli,30,30,2024-04-01 18:45:00+00:00,Inter,Empoli,2 , 0,FT,4230840,https://fotmob.com/matches/empoli-vs-inter/2frraf#4230840,Inter,2.09,2.09,1.38,2.07,0.02,8.0,1.0,13.0,4.0,7.0,6.0,19.0,517,59,2,1,8,14,0.91,3,22,1,255,262,569,11,36,0.15,0.65,Empoli,0.49,0.49,0.27,0.40,0.09,5.0,0.0,8.0,6.0,3.0,6.0,14.0,316,41,0,0,6,16,0.85,10,26,0,154,162,371,20,19,0.34,0.62
297,ITA-Serie A,2324,2024-04-01 Lecce-Roma,30,30,2024-04-01 16:00:00+00:00,Lecce,Roma,0 , 0,FT,4230837,https://fotmob.com/matches/roma-vs-lecce/2upm4p#4230837,Lecce,1.82,1.82,0.31,1.40,0.43,9.0,1.0,15.0,12.0,6.0,12.0,27.0,246,40,0,0,8,9,0.74,5,23,2,87,159,332,17,23,0.24,0.36,Roma,1.32,1.32,0.75,1.27,0.05,1.0,1.0,5.0,6.0,3.0,5.0,10.0,410,60,3,3,4,12,0.8,4,21,0,189,221,515,22,15,0.21,0.38
298,ITA-Serie A,2324,2024-04-01 Sassuolo-Udinese,30,30,2024-04-01 13:00:00+00:00,Sassuolo,Udinese,1 , 1,FT,4230838,https://fotmob.com/matches/sassuolo-vs-udinese/29h7wo#4230838,Sassuolo,1.20,1.20,1.44,0.99,0.21,2.0,0.0,8.0,7.0,5.0,6.0,14.0,397,60,2,1,10,7,0.84,8,29,0,189,208,471,23,29,0.29,0.49,Udinese,1.52,1.52,0.98,1.52,0.00,3.0,1.0,11.0,6.0,3.0,1.0,12.0,256,40,3,2,1,10,0.79,3,31,2,103,153,325,11,16,0.27,0.5
299,ITA-Serie A,2324,2024-04-05 Salernitana-Sassuolo,31,31,2024-04-05 18:45:00+00:00,Salernitana,Sassuolo,2 , 2,FT,4230810,https://fotmob.com/matches/salernitana-vs-sassuolo/1pxngb#4230810,Salernitana,1.18,0.39,1.28,0.39,0.00,1.0,0.0,3.0,2.0,2.0,2.0,5.0,397,54,2,0,4,10,0.81,2,28,1,145,252,493,16,12,0.09,0.41,Sassuolo,2.30,2.30,2.07,2.18,0.12,6.0,0.0,13.0,5.0,5.0,3.0,16.0,321,46,2,0,9,13,0.77,5,22,3,159,162,415,14,33,0.28,0.35
300,ITA-Serie A,2324,2024-04-06 AC Milan-Lecce,31,31,2024-04-06 13:00:00+00:00,AC Milan,Lecce,3 , 0,FT,4230824,https://fotmob.com/matches/ac-milan-vs-lecce/2td7ci#4230824,AC Milan,1.49,1.49,3.00,1.21,0.28,3.0,1.0,10.0,5.0,8.0,6.0,16.0,574,64,4,3,5,8,0.92,3,16,2,273,301,625,17,28,0.27,0.55,Lecce,0.53,0.53,0.62,0.51,0.02,1.0,1.0,6.0,3.0,7.0,5.0,11.0,300,36,2,2,1,8,0.86,4,22,1,130,170,347,10,10,0.4,0.56
301,ITA-Serie A,2324,2024-04-06 Empoli-Torino,31,31,2024-04-06 18:45:00+00:00,Empoli,Torino,3 , 2,FT,4230807,https://fotmob.com/matches/empoli-vs-torino/2s495r#4230807,Empoli,0.47,0.47,1.64,0.46,0.01,1.0,0.0,2.0,0.0,3.0,2.0,4.0,203,36,1,0,1,13,0.69,0,22,2,104,99,296,17,10,0.0,0.34,Torino,2.18,2.18,1.62,0.81,1.37,5.0,1.0,15.0,9.0,5.0,4.0,19.0,448,64,4,2,7,13,0.86,10,27,1,221,227,518,20,29,0.31,0.47
302,ITA-Serie A,2324,2024-04-06 Roma-Lazio,31,31,2024-04-06 16:00:00+00:00,Roma,Lazio,1 , 0,FT,4230822,https://fotmob.com/matches/lazio-vs-roma/2gdicp#4230822,Roma,0.71,0.71,0.39,0.42,0.29,5.0,1.0,8.0,7.0,3.0,7.0,15.0,320,46,2,1,3,14,0.8,8,19,1,125,195,402,19,18,0.53,0.37,Lazio,0.44,0.44,0.05,0.35,0.09,4.0,0.0,5.0,6.0,1.0,6.0,11.0,386,54,0,0,6,15,0.83,3,24,1,220,166,463,23,28,0.14,0.46
